GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
Zm00001eb000690	Homeobox-leucine zipper protein REVOLUTA	HOMEOBOX-LEUCINE ZIPPER PROTEIN HOX10 (PTHR45950:SF28)	homeodomain transcription factor(PC00119)			
Zm00001eb068660	36.4 kDa proline-rich protein	OS04G0644400 PROTEIN (PTHR31731:SF20)				
Zm00001eb432640	Uncharacterized protein					
Zm00001eb025790	Glycine-rich protein A3	"DOMAIN PROTEIN, PUTATIVE (AFU_ORTHOLOGUE AFUA_5G04290)-RELATED (PTHR31248:SF2)"				
Zm00001eb073140	Uncharacterized protein					
Zm00001eb418350	Coatomer subunit beta-1	COATOMER SUBUNIT BETA-1 (PTHR10635:SF3)	vesicle coat protein(PC00235)		intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);intra-Golgi vesicle-mediated transport(GO:0006891)	cytoplasm(GO:0005737);COPI vesicle coat(GO:0030126)
Zm00001eb278770	Calcium-binding EF hand family protein	OS06G0728600 PROTEIN (PTHR11216:SF175)	membrane traffic protein(PC00150)	calcium ion binding(GO:0005509);protein-macromolecule adaptor activity(GO:0030674)	endocytosis(GO:0006897);endosomal transport(GO:0016197)	cytoplasm(GO:0005737);plasma membrane(GO:0005886)
Zm00001eb157350	Ras-related protein RABA1f	OS01G0667600 PROTEIN (PTHR24073:SF1092)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	intracellular protein transport(GO:0006886)	endomembrane system(GO:0012505)
Zm00001eb027970	Protein STRUBBELIG-RECEPTOR FAMILY 7	PROTEIN STRUBBELIG-RECEPTOR FAMILY 7 (PTHR48005:SF14)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
Zm00001eb409130	Serine_threonine-protein kinase SAPK10					
Zm00001eb373670	Growth-regulating factor	GROWTH-REGULATING FACTOR 2 (PTHR31602:SF10)		ATP binding(GO:0005524)	DNA-templated transcription(GO:0006351);regulation of DNA-templated transcription(GO:0006355);developmental process(GO:0032502)	nucleus(GO:0005634)
Zm00001eb286800	GNAT transcription factor	N-ACETYLTRANSFERASE (PTHR23196:SF8)		"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"	DNA damage response(GO:0006974)	nucleus(GO:0005634)
Zm00001eb088140	Senescence-specific cysteine protease SAG12	SENESCENCE-SPECIFIC CYSTEINE PROTEASE SAG12 (PTHR12411:SF647)	cysteine protease(PC00081)	cysteine-type endopeptidase activity(GO:0004197);peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787)	proteolysis(GO:0006508);proteolysis involved in protein catabolic process(GO:0051603)	extracellular space(GO:0005615);lysosome(GO:0005764)
Zm00001eb391730	Pectin acetylesterase	PECTIN ACETYLESTERASE 9 (PTHR21562:SF69)		hydrolase activity(GO:0016787);pectin acetylesterase activity(GO:0052793)	cell wall organization(GO:0071555)	
Zm00001eb277230	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein					membrane(GO:0016020)
Zm00001eb385230	Root hair specific 4	OS06G0574000 PROTEIN (PTHR33672:SF6)			photosystem I assembly(GO:0048564);response to photooxidative stress(GO:0080183)	chloroplast thylakoid membrane(GO:0009535)
Zm00001eb346740	Replication protein A DNA-binding subunit B	RETROTRANSPOSON-LIKE PROTEIN (PTHR47165:SF3)		DNA binding(GO:0003677)		
Zm00001eb395290	Endoglucanase	ENDOGLUCANASE 9 (PTHR22298:SF36)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245)	
Zm00001eb316320	Plant UBX domain-containing protein 10	UBIQUITIN-ASSOCIATED (UBA) PROTEIN-RELATED (PTHR23322:SF71)	scaffold/adaptor protein(PC00226)	ubiquitin binding(GO:0043130)	ERAD pathway(GO:0036503)	endoplasmic reticulum(GO:0005783)
Zm00001eb288030	HAT C-terminal dimerisation domain-containing protein			protein dimerization activity(GO:0046983)		
Zm00001eb171090	Oberon-like PHD finger domain-containing protein	OS08G0220600 PROTEIN (PTHR46286:SF6)		zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	vernalization response(GO:0010048);epigenetic regulation of gene expression(GO:0040029)	nucleus(GO:0005634)
Zm00001eb379160	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF56)				
Zm00001eb326000	Triacylglycerol lipase	OS07G0586800 PROTEIN (PTHR31479:SF6)	hydrolase(PC00121)			
Zm00001eb307310	Uncharacterized protein					
Zm00001eb197430	Homeobox domain-containing protein	WUSCHEL-RELATED HOMEOBOX 3 (PTHR45940:SF42)	homeodomain transcription factor(PC00119)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);system development(GO:0048731);plant organ development(GO:0099402)	nucleus(GO:0005634)
Zm00001eb327880	DUF4057 domain-containing protein	OS07G0623600 PROTEIN (PTHR31132:SF12)				
Zm00001eb039240	Amino acid transporter transmembrane domain-containing protein	AMINO ACID TRANSPORTER TRANSMEMBRANE DOMAIN-CONTAINING PROTEIN (PTHR48017:SF53)		amino acid transmembrane transporter activity(GO:0015171)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	membrane(GO:0016020)
Zm00001eb156970	3'-5' exonuclease domain-containing protein	3'-5' EXONUCLEASE DOMAIN-CONTAINING PROTEIN (PTHR13620:SF51)		nucleic acid binding(GO:0003676);nuclease activity(GO:0004518);3'-5' exonuclease activity(GO:0008408);hydrolase activity(GO:0016787)	nucleobase-containing compound metabolic process(GO:0006139)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb012680	BHLH domain-containing protein			DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb336740	Putative DEAD-box ATP-dependent RNA helicase family protein	RNA HELICASE (PTHR47958:SF195)	RNA helicase(PC00032)	nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);mRNA binding(GO:0003729);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787)		
Zm00001eb021690	Glutathione S-transferase	GLUTATHIONE S-TRANSFERASE (PTHR11260:SF668)	transferase(PC00220)	glutathione transferase activity(GO:0004364);transferase activity(GO:0016740)	glutathione metabolic process(GO:0006749)	cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb329190	ATP12 ATPase	ATP SYNTHASE MITOCHONDRIAL F1 COMPLEX ASSEMBLY FACTOR 2 (PTHR21013:SF10)	chaperone(PC00072)		mitochondrial proton-transporting ATP synthase complex assembly(GO:0033615);proton-transporting ATP synthase complex assembly(GO:0043461)	mitochondrion(GO:0005739)
Zm00001eb113320	Uncharacterized protein					
Zm00001eb001030	Uncharacterized protein					
Zm00001eb304280	Pectin lyase-like superfamily protein	OS07G0245200 PROTEIN (PTHR31339:SF20)	lyase(PC00144)			
Zm00001eb109450	Uncharacterized protein					
Zm00001eb041770	Tau-cadinol synthase	TAU-CADINOL SYNTHASE (PTHR31225:SF186)		magnesium ion binding(GO:0000287);terpene synthase activity(GO:0010333);lyase activity(GO:0016829);metal ion binding(GO:0046872)	isoprenoid biosynthetic process(GO:0008299);response to fungus(GO:0009620);response to abscisic acid(GO:0009737);response to jasmonic acid(GO:0009753);diterpenoid biosynthetic process(GO:0016102);terpenoid biosynthetic process(GO:0016114);terpene biosynthetic process(GO:0046246)	cytoplasm(GO:0005737)
Zm00001eb146530	ARM repeat superfamily protein				DNA repair(GO:0006281);DNA damage response(GO:0006974);mitotic sister chromatid cohesion(GO:0007064);homologous recombination(GO:0035825);cell division(GO:0051301)	nucleus(GO:0005634)
Zm00001eb019530	Nucleoredoxin1	THIOREDOXIN DOMAIN-CONTAINING PROTEIN (PTHR13871:SF96)	oxidoreductase(PC00176)	thioredoxin-disulfide reductase (NADPH) activity(GO:0004791);oxidoreductase activity(GO:0016491);protein-disulfide reductase [NAD(P)H] activity(GO:0047134)	cellular oxidant detoxification(GO:0098869)	
Zm00001eb074470	Uncharacterized protein	OS04G0554900 PROTEIN (PTHR34961:SF11)				
Zm00001eb244210	Uncharacterized protein					
Zm00001eb363910	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24056:SF358)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);RNA polymerase II CTD heptapeptide repeat kinase activity(GO:0008353)	positive regulation of transcription elongation by RNA polymerase II(GO:0032968)	cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634)
Zm00001eb373680	40S ribosomal protein S8	40S RIBOSOMAL PROTEIN S8 (PTHR10394:SF24)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000462);translation(GO:0006412)"	ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb397690	protein-serine_threonine phosphatase			phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787)		
Zm00001eb402160	Putative thaumatin domain family protein	NUCLEAR PORE COMPLEX PROTEIN NUP96 (PTHR23198:SF26)	transporter(PC00227)	structural constituent of nuclear pore(GO:0017056)	"nucleocytoplasmic transport(GO:0006913);protein transport(GO:0015031);photoperiodism, flowering(GO:0048573);mRNA transport(GO:0051028)"	nuclear envelope(GO:0005635);nuclear pore(GO:0005643)
Zm00001eb081900	MLO-like protein	MLO-LIKE PROTEIN (PTHR31942:SF68)		calmodulin binding(GO:0005516)	defense response(GO:0006952)	membrane(GO:0016020)
Zm00001eb027620	ABC1 atypical kinase-like domain-containing protein	AARF DOMAIN CONTAINING KINASE 2 (PTHR45890:SF1)				
Zm00001eb358390	"Formate dehydrogenase 1, mitochondrial"	FORMATE DEHYDROGENASE 1 (PTHR42938:SF9)	dehydrogenase(PC00092)	"formate dehydrogenase (NAD+) activity(GO:0008863);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD binding(GO:0051287)"	monocarboxylic acid metabolic process(GO:0032787)	chloroplast(GO:0009507)
Zm00001eb333400	PUR ALPHA-1	"PURINE-RICH BINDING PROTEIN-ALPHA, ISOFORM B (PTHR12611:SF0)"	DNA-binding transcription factor(PC00218)	"RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);purine-rich negative regulatory element binding(GO:0032422)"	regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634)
Zm00001eb164910	NB-ARC domain-containing protein			nucleotide binding(GO:0000166);ADP binding(GO:0043531)	defense response(GO:0006952)	
Zm00001eb005540	BHLH transcription factor	DNA BINDING PROTEIN (PTHR38546:SF3)		protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355);regulation of growth(GO:0040008)	
Zm00001eb053040	Sulfotransferase			sulfotransferase activity(GO:0008146);transferase activity(GO:0016740)		
Zm00001eb332270	Uncharacterized protein					
Zm00001eb430250	Phospholipid scramblase	PHOSPHOLIPID SCRAMBLASE (PTHR23248:SF9)	transporter(PC00227)	phospholipid scramblase activity(GO:0017128)	plasma membrane phospholipid scrambling(GO:0017121)	plasma membrane(GO:0005886)
Zm00001eb201180	Uncharacterized protein					
Zm00001eb336100	Uncharacterized protein	LECTIN-LIKE (PTHR48478:SF1)		carbohydrate binding(GO:0030246)		
Zm00001eb333520	H_ACA ribonucleoprotein complex subunit 4	H_ACA RIBONUCLEOPROTEIN COMPLEX SUBUNIT 4 (PTHR23127:SF3)	centromere DNA-binding protein(PC00071)	RNA binding(GO:0003723);pseudouridine synthase activity(GO:0009982);isomerase activity(GO:0016853)	box H/ACA sno(s)RNA 3'-end processing(GO:0000495);pseudouridine synthesis(GO:0001522);RNA processing(GO:0006396);RNA modification(GO:0009451);rRNA pseudouridine synthesis(GO:0031118);snRNA pseudouridine synthesis(GO:0031120);mRNA pseudouridine synthesis(GO:1990481)	box H/ACA snoRNP complex(GO:0031429);ribonucleoprotein complex(GO:1990904)
Zm00001eb351880	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5	PROTEIN G1-LIKE8 (PTHR31165:SF18)		DNA binding(GO:0003677)	mRNA transcription(GO:0009299);response to light stimulus(GO:0009416)	nucleus(GO:0005634)
Zm00001eb322860	Patatin	CALCIUM-INDEPENDENT PHOSPHOLIPASE A2-GAMMA (PTHR24185:SF1)	phospholipase(PC00186)	phospholipase activity(GO:0004620);hydrolase activity(GO:0016787)	lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);defense response(GO:0006952);lipid catabolic process(GO:0016042)	membrane(GO:0016020)
Zm00001eb073680	RHOMBOID-like protein	RHOMBOID-LIKE PROTEIN (PTHR22936:SF31)		serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	cytoplasm(GO:0005737);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb327890	VQ motif-containing protein	VQ MOTIF-CONTAINING PROTEIN (PTHR33179:SF35)				
Zm00001eb068930	Glutaredoxin family protein	OS04G0641300 PROTEIN (PTHR45669:SF30)	oxidoreductase(PC00176)			
Zm00001eb085690	BHLH domain-containing protein	TRANSCRIPTION FACTOR FER-LIKE IRON DEFICIENCY-INDUCED TRANSCRIPTION FACTOR (PTHR31945:SF17)	DNA-binding transcription factor(PC00218)	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565);protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb282500	Uncharacterized protein					
Zm00001eb012660	RNA binding protein	RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN (PTHR48029:SF3)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
Zm00001eb252160	SANT domain-containing protein	OS12G0522516 PROTEIN (PTHR43952:SF61)	homeodomain transcription factor(PC00119)	DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb116860	Uncharacterized protein					
Zm00001eb351240	Uncharacterized protein					
Zm00001eb004300	HMA domain-containing protein	"HEAVY METAL-ASSOCIATED DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR22814:SF350)"		metal ion binding(GO:0046872)		
Zm00001eb067980	AP2_ERF domain-containing protein	AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR AIL5 (PTHR32467:SF99)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb255330	Uncharacterized protein					
Zm00001eb212980	BI1-like protein					
Zm00001eb205980	Uncharacterized protein					
Zm00001eb258460	Casein kinase I	OS02G0810400 PROTEIN (PTHR11909:SF487)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	endocytosis(GO:0006897);signal transduction(GO:0007165)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb237830	Uncharacterized protein					
Zm00001eb071570	Plant intracellular Ras-group-related LRR protein 7	PLANT INTRACELLULAR RAS-GROUP-RELATED LRR PROTEIN 8 (PTHR45752:SF41)	scaffold/adaptor protein(PC00226)		intracellular signal transduction(GO:0035556)	
Zm00001eb370200	Protein DETOXIFICATION	PROTEIN DETOXIFICATION (PTHR11206:SF377)	transporter(PC00227)	antiporter activity(GO:0015297);transmembrane transporter activity(GO:0022857);xenobiotic transmembrane transporter activity(GO:0042910)	transmembrane transport(GO:0055085);xenobiotic detoxification by transmembrane export across the plasma membrane(GO:1990961)	membrane(GO:0016020)
Zm00001eb356440	AP2_ERF domain-containing protein	OS05G0536250 PROTEIN (PTHR32467:SF180)	DNA-binding transcription factor(PC00218)			
Zm00001eb336800	DNA_RNA-binding protein Alba-like domain-containing protein	OS01G0173100 PROTEIN (PTHR31947:SF14)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		nucleus(GO:0005634)
Zm00001eb114470	Ku70_Ku80 N-terminal alpha_beta domain-containing protein					
Zm00001eb207310	Pentatricopeptide repeat-containing protein	OS02G0164600 PROTEIN (PTHR47928:SF165)		RNA binding(GO:0003723)	RNA modification(GO:0009451)	
Zm00001eb397440	Nitric oxide synthase interacting protein	NITRIC OXIDE SYNTHASE-INTERACTING PROTEIN (PTHR13063:SF10)		zinc ion binding(GO:0008270);ubiquitin protein ligase activity(GO:0061630)		nucleus(GO:0005634)
Zm00001eb334950	Nucleolin	GLUTAMYL-TRNA (GLN) AMIDOTRANSFERASE SUBUNIT C (PTHR38393:SF1)	RNA processing factor(PC00147)			
Zm00001eb213560	Verprolin	VERPROLIN (PTHR33088:SF93)				
Zm00001eb061650	Protein TIFY	PROTEIN TIFY (PTHR33077:SF143)			response to wounding(GO:0009611);regulation of defense response(GO:0031347);regulation of jasmonic acid mediated signaling pathway(GO:2000022)	nucleus(GO:0005634)
Zm00001eb401700	40S ribosomal protein SA	40S RIBOSOMAL PROTEIN SA (PTHR11489:SF32)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	ribosomal small subunit assembly(GO:0000028);cytoplasmic translation(GO:0002181);translation(GO:0006412)	cytoplasm(GO:0005737);ribosome(GO:0005840);small ribosomal subunit(GO:0015935);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb156090	Uncharacterized protein					
Zm00001eb071030	Pentatricopeptide repeat-containing protein mitochondrial	OS04G0612800 PROTEIN (PTHR45613:SF144)				
Zm00001eb165160	Uncharacterized protein					
Zm00001eb337260	PGG domain-containing protein					
Zm00001eb293410	Uncharacterized protein	"MULTIPLE ORGANELLAR RNA EDITING FACTOR 1, MITOCHONDRIAL (PTHR31346:SF5)"			RNA metabolic process(GO:0016070);cytidine to uridine editing(GO:0016554);mitochondrial mRNA modification(GO:0080156)	mitochondrion(GO:0005739)
Zm00001eb253360	Uncharacterized protein				deadenylation-independent decapping of nuclear-transcribed mRNA(GO:0031087)	cytoplasm(GO:0005737)
Zm00001eb393090	Uncharacterized protein					
Zm00001eb378980	Pentacotripeptide-repeat region of PRORP domain-containing protein	PENTACOTRIPEPTIDE-REPEAT REGION OF PRORP DOMAIN-CONTAINING PROTEIN (PTHR47942:SF60)		mRNA binding(GO:0003729)	mRNA processing(GO:0006397)	cytoplasm(GO:0005737)
Zm00001eb172230	CslF6-2	MIXED-LINKED GLUCAN SYNTHASE 6-RELATED (PTHR13301:SF75)	DNA-binding transcription factor(PC00218)	transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);cellulose synthase (UDP-forming) activity(GO:0016760)	plant-type primary cell wall biogenesis(GO:0009833);cellulose biosynthetic process(GO:0030244);cell wall organization(GO:0071555);plant-type cell wall organization or biogenesis(GO:0071669)	Golgi membrane(GO:0000139);plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb402520	Putative serine_threonine-protein kinase Cx32 chloroplastic	SERINE_THREONINE-PROTEIN KINASE CX32 CHLOROPLASTIC-RELATED (PTHR45621:SF36)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		
Zm00001eb072690	FLZ-type domain-containing protein	OS04G0585900 PROTEIN (PTHR46057:SF19)		metal ion binding(GO:0046872)		
Zm00001eb084830	Pentatricopeptide repeat-containing protein	OS11G0583200 PROTEIN (PTHR24015:SF1814)		RNA binding(GO:0003723)	RNA modification(GO:0009451)	
Zm00001eb368960	Proline-rich family protein	OS01G0819000 PROTEIN (PTHR31949:SF37)				cortical microtubule(GO:0055028)
Zm00001eb257640	Serinc-domain containing serine and sphingolipid biosynthesis protein	SERINC-DOMAIN CONTAINING SERINE AND SPHINGOLIPID BIOSYNTHESIS PROTEIN (PTHR10383:SF54)	protein-binding activity modulator(PC00095)			membrane(GO:0016020)
