GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
Zm00001eb317210	O-fucosyltransferase family protein	PROTEIN MANNAN SYNTHESIS-RELATED 1 (PTHR31288:SF5)		transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);mannan synthase activity(GO:0051753)	fucose metabolic process(GO:0006004);cell wall pectin biosynthetic process(GO:0052325)	Golgi apparatus(GO:0005794)
Zm00001eb432840	RRM domain-containing protein			nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
Zm00001eb027970	Protein STRUBBELIG-RECEPTOR FAMILY 7	PROTEIN STRUBBELIG-RECEPTOR FAMILY 7 (PTHR48005:SF14)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
Zm00001eb084620	H(+)-exporting diphosphatase	PYROPHOSPHATE-ENERGIZED VACUOLAR MEMBRANE PROTON PUMP 1 (PTHR31998:SF52)		inorganic diphosphate phosphatase activity(GO:0004427);diphosphate hydrolysis-driven proton transmembrane transporter activity(GO:0009678)	monoatomic ion transport(GO:0006811);transmembrane transport(GO:0055085);proton transmembrane transport(GO:1902600)	vacuole(GO:0005773);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb173900	L-gulonolactone oxidase	L-GULONOLACTONE OXIDASE (PTHR13878:SF90)	oxidase(PC00175)	"catalytic activity(GO:0003824);D-arabinono-1,4-lactone oxidase activity(GO:0003885);oxidoreductase activity(GO:0016491);L-gulonolactone oxidase activity(GO:0050105);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949)"	L-ascorbic acid biosynthetic process(GO:0019853)	membrane(GO:0016020)
Zm00001eb380240	NHL domain-containing protein	OS06G0269300 PROTEIN (PTHR13833:SF79)				
Zm00001eb215120	Auxin-responsive protein	AUXIN-RESPONSIVE PROTEIN IAA13 (PTHR31734:SF28)			regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734)	nucleus(GO:0005634)
Zm00001eb286800	GNAT transcription factor	N-ACETYLTRANSFERASE (PTHR23196:SF8)		"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"	DNA damage response(GO:0006974)	nucleus(GO:0005634)
Zm00001eb408340	Uncharacterized protein					
Zm00001eb052880	Tetratricopeptide repeat (TPR)-like superfamily protein	OS03G0816600 PROTEIN (PTHR24015:SF1956)		RNA binding(GO:0003723);zinc ion binding(GO:0008270)	RNA modification(GO:0009451)	mitochondrion(GO:0005739)
Zm00001eb173590	DUF241 domain protein	DUF241 DOMAIN PROTEIN (PTHR33070:SF125)			root development(GO:0048364);shoot system development(GO:0048367)	
Zm00001eb201170	Multiple C2 domain-containing protein					
Zm00001eb287640	Putative manganese-transporting ATPase PDR2	ENDOPLASMIC RETICULUM TRANSMEMBRANE HELIX TRANSLOCASE (PTHR45630:SF7)	primary active transporter(PC00068)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);P-type ion transporter activity(GO:0015662);ATP hydrolysis activity(GO:0016887);ATPase-coupled monoatomic cation transmembrane transporter activity(GO:0019829);metal ion binding(GO:0046872);P-type transmembrane transporter activity(GO:0140358)	intracellular calcium ion homeostasis(GO:0006874);transmembrane transport(GO:0055085);monoatomic cation transmembrane transport(GO:0098655)	endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
Zm00001eb068810	Golgin candidate 6				intracellular protein transport(GO:0006886);vesicle-mediated transport(GO:0016192);Golgi vesicle transport(GO:0048193)	
Zm00001eb084670	SNF4	SUCROSE NONFERMENTING 4-LIKE PROTEIN ISOFORM X1 (PTHR13780:SF131)	kinase modulator(PC00140)		regulation of glycolytic process(GO:0006110);cellular response to glucose starvation(GO:0042149);positive regulation of gluconeogenesis(GO:0045722)	chloroplast(GO:0009507)
Zm00001eb430360	Protein kinase domain-containing protein	OS04G0602800 PROTEIN (PTHR24058:SF105)	protein modifying enzyme(PC00260)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		cytoplasm(GO:0005737)
Zm00001eb286460	Serine-threonine_tyrosine-protein kinase catalytic domain-containing protein	OS05G0353500 PROTEIN (PTHR46084:SF29)		protein kinase activity(GO:0004672)		endomembrane system(GO:0012505)
Zm00001eb357020	Hydroxyproline-rich glycoprotein family protein	HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN (PTHR33098:SF36)				
Zm00001eb287260	RING-type E3 ubiquitin transferase	E3 UBIQUITIN-PROTEIN LIGASE KEG (PTHR46960:SF1)	ubiquitin-protein ligase(PC00234)			
Zm00001eb052660	Uncharacterized protein	"CYTOCHROME P450 FAMILY PROTEIN, EXPRESSED (PTHR24286:SF81)"	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	brassinosteroid homeostasis(GO:0010268);brassinosteroid biosynthetic process(GO:0016132)	
Zm00001eb060470	Lipid transfer protein	OS03G0793800 PROTEIN (PTHR33044:SF230)				plasma membrane(GO:0005886);side of membrane(GO:0098552)
Zm00001eb215130	Protein transport protein SEC23	PROTEIN TRANSPORT PROTEIN SEC23 G (PTHR11141:SF22)	vesicle coat protein(PC00235)	GTPase activator activity(GO:0005096);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192);COPII-coated vesicle cargo loading(GO:0090110);COPII-coated vesicle budding(GO:0090114)	endoplasmic reticulum membrane(GO:0005789);ER to Golgi transport vesicle membrane(GO:0012507);COPII vesicle coat(GO:0030127);cytoplasmic vesicle(GO:0031410);endoplasmic reticulum exit site(GO:0070971)
Zm00001eb294350	DUF4408 domain-containing protein	OS05G0540900 PROTEIN (PTHR33098:SF53)				
Zm00001eb397150	Organic anion transporter	OS03G0286300 PROTEIN (PTHR11132:SF500)	secondary carrier transporter(PC00258)	antiporter activity(GO:0015297)	transmembrane transport(GO:0055085)	Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb432920	SAUR-like auxin-responsive protein family	SAUR-LIKE AUXIN-RESPONSIVE PROTEIN FAMILY (PTHR31374:SF119)			response to auxin(GO:0009733)	
Zm00001eb173970	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein	OS08G0113400 PROTEIN (PTHR44067:SF2)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);transferase activity(GO:0016740)	methylation(GO:0032259)	
Zm00001eb084610	Uncharacterized protein					
Zm00001eb351970	PLAC8 family protein	PLAC8 FAMILY PROTEIN (PTHR31045:SF30)		cyclase activity(GO:0009975)	sesquiterpene biosynthetic process(GO:0051762)	membrane(GO:0016020)
Zm00001eb162550	Uncharacterized protein	TAIL FIBER (PTHR35288:SF1)				
Zm00001eb392640	Uncharacterized protein					
Zm00001eb346740	Replication protein A DNA-binding subunit B	RETROTRANSPOSON-LIKE PROTEIN (PTHR47165:SF3)		DNA binding(GO:0003677)		
Zm00001eb067000	SKP1-like protein 4	OS01G0553400 PROTEIN (PTHR34145:SF48)				
Zm00001eb151240	C2H2 zinc finger protein	OS01G0785900 PROTEIN (PTHR31681:SF39)	C2H2 zinc finger transcription factor(PC00248)	zinc ion binding(GO:0008270)		
Zm00001eb386810	Thaumatin-like protein 1	OS07G0140232 PROTEIN (PTHR31048:SF131)			defense response(GO:0006952)	
Zm00001eb430610	Transferase	HXXXD-TYPE ACYL-TRANSFERASE FAMILY PROTEIN (PTHR31642:SF266)	acetyltransferase(PC00038)	"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"		
Zm00001eb346650	Uncharacterized protein				defense response(GO:0006952)	membrane(GO:0016020)
Zm00001eb431030	Uncharacterized protein					
Zm00001eb286770	Peptide chain release factor domain-containing protein	"PEPTIDE CHAIN RELEASE FACTOR PRFB3, CHLOROPLASTIC (PTHR43116:SF4)"	translation release factor(PC00225)	mRNA 3'-UTR binding(GO:0003730);sequence-specific DNA binding(GO:0043565)	translational termination(GO:0006415);chloroplast organization(GO:0009658);regulation of mRNA stability(GO:0043488)	chloroplast(GO:0009507);chloroplast stroma(GO:0009570)
Zm00001eb151510	Insulin-degrading enzyme-like 1 peroxisomal	OS01G0779100 PROTEIN (PTHR43690:SF7)	metalloprotease(PC00153)	endopeptidase activity(GO:0004175);metalloendopeptidase activity(GO:0004222);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	proteolysis(GO:0006508);peptide catabolic process(GO:0043171);proteolysis involved in protein catabolic process(GO:0051603)	cytoplasm(GO:0005737);mitochondrion(GO:0005739);cytosol(GO:0005829)
Zm00001eb173670	Cation_H+ exchanger domain-containing protein	OS08G0117800 PROTEIN (PTHR32468:SF102)	transporter(PC00227)	antiporter activity(GO:0015297)	monoatomic ion transport(GO:0006811);monoatomic cation transport(GO:0006812);potassium ion transport(GO:0006813);regulation of pH(GO:0006885);transmembrane transport(GO:0055085);proton transmembrane transport(GO:1902600)	chloroplast envelope(GO:0009941);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb286900	Putative ADP-ribosylation factor GTPase-activating protein AGD11	OS05G0382000 PROTEIN (PTHR46220:SF7)	GTPase-activating protein(PC00257)	GTPase activator activity(GO:0005096);phospholipid binding(GO:0005543);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)		
Zm00001eb066960	Heavy metal-associated isoprenylated plant protein 39	OS04G0667600 PROTEIN (PTHR45811:SF49)				
Zm00001eb102150	Myosin heavy chain-related	OS09G0497700 PROTEIN (PTHR34360:SF4)				
Zm00001eb202200	O-methyltransferase ZRP4	O-METHYLTRANSFERASE ZRP4 (PTHR11746:SF193)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);O-methyltransferase activity(GO:0008171);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);transferase activity(GO:0016740);acetylserotonin O-methyltransferase activity(GO:0017096);protein dimerization activity(GO:0046983)	melatonin biosynthetic process(GO:0030187);methylation(GO:0032259)	
Zm00001eb215490	Protein MIZU-KUSSEI 1	OS03G0733266 PROTEIN (PTHR31696:SF64)			hydrotropism(GO:0010274)	
Zm00001eb431040	Pentatricopeptide repeat-containing protein mitochondrial	PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN MITOCHONDRIAL (PTHR47939:SF14)		mRNA binding(GO:0003729)		
Zm00001eb102090	Methyl binding domain111	"METHYL-CPG BINDING DOMAIN PROTEIN-LIKE, ISOFORM C (PTHR12396:SF0)"	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"			
Zm00001eb150650	Uncharacterized protein	FK506-BINDING-LIKE PROTEIN (PTHR34567:SF3)				
Zm00001eb430380	RING-type E3 ubiquitin transferase	RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR22937:SF46)	ubiquitin-protein ligase(PC00234)	zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630)		
Zm00001eb060610	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	LEUCINE-RICH REPEAT EXTENSIN-LIKE PROTEIN 6 (PTHR32093:SF121)			cell wall organization(GO:0071555)	
Zm00001eb162390	GST C-terminal domain-containing protein			glutathione transferase activity(GO:0004364)	glutathione metabolic process(GO:0006749)	
Zm00001eb294420	60S ribosomal protein L28	OS05G0541900 PROTEIN (PTHR10544:SF24)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb355940	DOG1 domain-containing protein			DNA binding(GO:0003677);sequence-specific DNA binding(GO:0043565)	DNA-templated transcription(GO:0006351)	nucleus(GO:0005634)
Zm00001eb413140	Homeodomain leucine zipper family IV protein	HOMEOBOX-LEUCINE ZIPPER PROTEIN ROC1 (PTHR45654:SF3)	homeodomain transcription factor(PC00119)	"DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);lipid binding(GO:0008289)"	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);cell differentiation(GO:0030154)	nucleus(GO:0005634)
Zm00001eb162870	Uso1_p115-like vesicle tethering protein C-terminal domain-containing protein				intracellular protein transport(GO:0006886);vesicle-mediated transport(GO:0016192);Golgi vesicle transport(GO:0048193)	
Zm00001eb374650	Uncharacterized protein					
Zm00001eb335200	AP2-EREBP transcription factor	ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF070 (PTHR31194:SF202)	DNA-binding transcription factor(PC00218)	transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb286940	Uncharacterized protein	OS05G0383200 PROTEIN (PTHR35123:SF8)				
Zm00001eb431290	Myosin heavy chain-related	OS04G0625000 PROTEIN (PTHR31071:SF48)				
Zm00001eb408170	Uncharacterized protein				lipid metabolic process(GO:0006629)	
Zm00001eb189000	Protein NRT1_ PTR FAMILY 7.1	PROTEIN NRT1_ PTR FAMILY 7.1 (PTHR11654:SF331)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb425420	Serine_threonine-protein kinase OXI1	"AGC (CAMP-DEPENDENT, CGMP-DEPENDENT AND PROTEIN KINASE C) KINASE FAMILY PROTEIN-RELATED (PTHR45637:SF8)"		"nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);phosphotransferase activity, alcohol group as acceptor(GO:0016773);catalytic activity, acting on a protein(GO:0140096)"		nucleus(GO:0005634);cytoplasm(GO:0005737);plasma membrane(GO:0005886)
Zm00001eb151360	ferroxidase	"FRATAXIN, MITOCHONDRIAL (PTHR16821:SF2)"	transfer/carrier protein(PC00219)	"ferroxidase activity(GO:0004322);ferrous iron binding(GO:0008198);ferric iron binding(GO:0008199);oxidoreductase activity(GO:0016491);iron chaperone activity(GO:0034986);2 iron, 2 sulfur cluster binding(GO:0051537)"	monoatomic ion transport(GO:0006811);iron ion transport(GO:0006826);intracellular iron ion homeostasis(GO:0006879);iron-sulfur cluster assembly(GO:0016226)	mitochondrion(GO:0005739)
Zm00001eb397190	Mitogen-activated protein kinase	MITOGEN-ACTIVATED PROTEIN KINASE 3 (PTHR24055:SF391)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase activity(GO:0004707);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	MAPK cascade(GO:0000165);intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb156430	Uncharacterized protein					
Zm00001eb352260	F-box protein	OS05G0490300 PROTEIN (PTHR31215:SF17)				
Zm00001eb397690	protein-serine_threonine phosphatase			phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787)		
Zm00001eb432820	Invertebrate defensins family profile domain-containing protein				defense response(GO:0006952)	
Zm00001eb358090	Trichome birefringence-like N-terminal domain-containing protein	OS01G0614300 PROTEIN (PTHR32285:SF38)		O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538)		Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb177830	Wall-associated receptor kinase-like 20	OS05G0318100 PROTEIN (PTHR27005:SF190)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);polysaccharide binding(GO:0030247)	cell surface receptor signaling pathway(GO:0007166)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb430820	"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"	"PEROXISOMAL 2,4-DIENOYL-COA REDUCTASE [(3E)-ENOYL-COA-PRODUCING] (PTHR43296:SF2)"	reductase(PC00198)	"2,4-dienoyl-CoA reductase (NADPH) activity(GO:0008670);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628)"	fatty acid metabolic process(GO:0006631);fatty acid catabolic process(GO:0009062)	peroxisome(GO:0005777)
Zm00001eb003680	ARM repeat superfamily protein	OS03G0145400 PROTEIN (PTHR33115:SF33)				
Zm00001eb150600	Uncharacterized protein					
