GeneID,GeneSymbol,Family_Subfamily,Protein_Class,GO_MF,GO_BO,GO_CC
Zm00001eb373860,Uncharacterized protein;unassigned;;orthologs,,,,defense response to other organism(GO:0098542),membrane(GO:0016020)
Zm00001eb318500,Transcription factor (Fragment);bHLH109;PTN002609022;orthologs,TRANSCRIPTION FACTOR (PTHR11514:SF115),,transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb308750,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb358780,Putative cytochrome P450 superfamily protein;103636103;PTN002800711;orthologs,CYTOCHROME P450 MONOOXYGENASE (PTHR24282:SF268),oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)",brassinosteroid homeostasis(GO:0010268);brassinosteroid metabolic process(GO:0016131),membrane(GO:0016020)
Zm00001eb072860,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain;103646027;PTN002738864;orthologs,F12P19.9 PROTEIN (PTHR22870:SF350),guanyl-nucleotide exchange factor(PC00113),zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,
Zm00001eb248880,Protein kinase APK1A;100283188;PTN002819755;orthologs,OS02G0648100 PROTEIN (PTHR27001:SF585),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine/tyrosine kinase activity(GO:0004712);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165);response to cold(GO:0009409);response to water deprivation(GO:0009414);response to salt(GO:1902074),plasma membrane(GO:0005886)
Zm00001eb285090,Superoxide dismutase;542764;PTN002605003;orthologs,"SUPEROXIDE DISMUTASE [MN], MITOCHONDRIAL (PTHR11404:SF6)",oxidoreductase(PC00176),superoxide dismutase activity(GO:0004784);oxidoreductase activity(GO:0016491);manganese ion binding(GO:0030145);metal ion binding(GO:0046872),superoxide metabolic process(GO:0006801);response to stress(GO:0006950);removal of superoxide radicals(GO:0019430),mitochondrion(GO:0005739);mitochondrial matrix(GO:0005759)
Zm00001eb432790,26S proteasome non-ATPase regulatory subunit 7 homolog A;100276453;PTN002576041;orthologs,26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 7 (PTHR10540:SF7),translation initiation factor(PC00224),peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237),proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161);system development(GO:0048731),proteasome complex(GO:0000502);proteasome regulatory particle(GO:0005838);intracellular protein-containing complex(GO:0140535);catalytic complex(GO:1902494)
Zm00001eb079370,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb161000,B3 domain-containing protein;100273773;PTN002832994;orthologs,B3 DOMAIN-CONTAINING PROTEIN (PTHR31391:SF65),,DNA binding(GO:0003677),,nucleus(GO:0005634)
Zm00001eb253150,C2C2-CO-like transcription factor;100304421;PTN009126559;orthologs,CONSTANS-LIKE PROTEIN DAYS TO HEADING ON CHROMOSOME 2 (PTHR31717:SF138),,zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb027510,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb335790,Mitochondrial glycoprotein;unassigned;PTN002585711;orthologs,OS01G0143800 PROTEIN (PTHR10826:SF15),complement component(PC00078),,,mitochondrial matrix(GO:0005759)
Zm00001eb336280,DCD (Development and Cell Death) domain protein;ZEAMMB73_Zm00001d008666;PTN002917237;orthologs,OS01G0165200 PROTEIN (PTHR46034:SF42),,,response to endoplasmic reticulum stress(GO:0034976),
Zm00001eb018240,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb143280,RRM domain-containing protein;unassigned;PTN009224918;orthologs,SERINE_ARGININE-RICH SPLICING FACTOR SR45A (PTHR48034:SF24),RNA metabolism protein(PC00031),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729),"mRNA splicing, via spliceosome(GO:0000398)",spliceosomal complex(GO:0005681)
Zm00001eb432640,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb329930,Coatomer subunit beta'-3;unassigned;;orthologs,,,,,
Zm00001eb097500,Piwi domain-containing protein;unassigned;;orthologs,,,nucleic acid binding(GO:0003676),,
Zm00001eb365710,60S ribosomal protein L5-1 homolog b;ZEAMMB73_Zm00001d012161;PTN002764727;orthologs,60S RIBOSOMAL PROTEIN L5-1 HOMOLOG B (PTHR23410:SF34),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735);5S rRNA binding(GO:0008097),translation(GO:0006412),cytoplasm(GO:0005737);ribosome(GO:0005840);ribonucleoprotein complex(GO:1990904)
Zm00001eb080820,RNA helicase;ZEAMMB73_Zm00001d003427;PTN002637459;orthologs,"DEXH-BOX ATP-DEPENDENT RNA HELICASE DEXH18, MITOCHONDRIAL (PTHR12131:SF28)",DNA metabolism protein(PC00009),nucleotide binding(GO:0000166);RNA helicase activity(GO:0003724);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787),mitochondrial RNA 3'-end processing(GO:0000965),nucleus(GO:0005634);mitochondrial nucleoid(GO:0042645);mitochondrial degradosome(GO:0045025)
Zm00001eb278770,Calcium-binding EF hand family protein;unassigned;PTN002599189;orthologs,OS06G0728600 PROTEIN (PTHR11216:SF175),membrane traffic protein(PC00150),calcium ion binding(GO:0005509);protein-macromolecule adaptor activity(GO:0030674),endocytosis(GO:0006897);endosomal transport(GO:0016197),cytoplasm(GO:0005737);plasma membrane(GO:0005886)
Zm00001eb409130,Serine_threonine-protein kinase SAPK10;unassigned;;orthologs,,,,,
Zm00001eb111010,Uncharacterized protein;unassigned;PTN009217032;orthologs,OS06G0641600 PROTEIN (PTHR47953:SF19),,"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)",,membrane(GO:0016020)
Zm00001eb046930,U-box domain-containing protein;unassigned;;orthologs,,,ubiquitin-protein transferase activity(GO:0004842);transferase activity(GO:0016740);ubiquitin protein ligase activity(GO:0061630),protein ubiquitination(GO:0016567),
Zm00001eb373670,Growth-regulating factor;GRF11;PTN009122929;orthologs,GROWTH-REGULATING FACTOR 2 (PTHR31602:SF10),,ATP binding(GO:0005524),DNA-templated transcription(GO:0006351);regulation of DNA-templated transcription(GO:0006355);developmental process(GO:0032502),nucleus(GO:0005634)
Zm00001eb430290,GPCR-type G protein 2;unassigned;PTN002698421;orthologs,GOLGI PH REGULATOR A-RELATED (PTHR15948:SF0),G-protein coupled receptor(PC00021),,,
Zm00001eb363090,Protein OSB2 chloroplastic;ZEAMMB73_Zm00001d011877;PTN008942650;orthologs,"PROTEIN OSB4, CHLOROPLASTIC (PTHR10302:SF23)",DNA metabolism protein(PC00009),,,
Zm00001eb088140,Senescence-specific cysteine protease SAG12;103646791;PTN002645490;orthologs,SENESCENCE-SPECIFIC CYSTEINE PROTEASE SAG12 (PTHR12411:SF647),cysteine protease(PC00081),cysteine-type endopeptidase activity(GO:0004197);peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787),proteolysis(GO:0006508);proteolysis involved in protein catabolic process(GO:0051603),extracellular space(GO:0005615);lysosome(GO:0005764)
Zm00001eb277230,Leucine-rich repeat-containing N-terminal plant-type domain-containing protein;unassigned;;orthologs,,,,,membrane(GO:0016020)
Zm00001eb281470,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb181260,Peptidyl-prolyl cis-trans isomerase;103653580;PTN002594379;orthologs,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE D-RELATED (PTHR11071:SF561),chaperone(PC00072),peptidyl-prolyl cis-trans isomerase activity(GO:0003755);cyclosporin A binding(GO:0016018);isomerase activity(GO:0016853),protein folding(GO:0006457),cytoplasm(GO:0005737)
Zm00001eb198460,Uncharacterized protein;100383560;PTN002861225;orthologs,OS08G0543600 PROTEIN (PTHR35766:SF1),,,,
Zm00001eb399240,LisH and RanBPM domains containing protein;100273042;PTN002656648;orthologs,GLUCOSE-INDUCED DEGRADATION PROTEIN 8 HOMOLOG (PTHR12864:SF3),scaffold/adaptor protein(PC00226),protein-macromolecule adaptor activity(GO:0030674),proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161),ubiquitin ligase complex(GO:0000151);nucleus(GO:0005634);cytosol(GO:0005829)
Zm00001eb346740,Replication protein A DNA-binding subunit B;unassigned;PTN009207112;orthologs,RETROTRANSPOSON-LIKE PROTEIN (PTHR47165:SF3),,DNA binding(GO:0003677),,
Zm00001eb395290,Endoglucanase;100281146;PTN002730769;orthologs,ENDOGLUCANASE 9 (PTHR22298:SF36),,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245),
Zm00001eb146400,Glutamate-oxaloacetate transaminase4;100276531;PTN002887171;orthologs,BIFUNCTIONAL ASPARTATE AMINOTRANSFERASE AND GLUTAMATE_ASPARTATE-PREPHENATE AMINOTRANSFERASE (PTHR43795:SF2),transaminase(PC00216),catalytic activity(GO:0003824);L-aspartate:2-oxoglutarate aminotransferase activity(GO:0004069);transaminase activity(GO:0008483);transferase activity(GO:0016740);pyridoxal phosphate binding(GO:0030170);aspartate-prephenate aminotransferase activity(GO:0033853);glutamate-prephenate aminotransferase activity(GO:0033854),"amino acid metabolic process(GO:0006520);aromatic amino acid family biosynthetic process, prephenate pathway(GO:0009095)",
Zm00001eb316320,Plant UBX domain-containing protein 10;ZEAMMB73_Zm00001d020882;PTN002762440;orthologs,UBIQUITIN-ASSOCIATED (UBA) PROTEIN-RELATED (PTHR23322:SF71),scaffold/adaptor protein(PC00226),ubiquitin binding(GO:0043130),ERAD pathway(GO:0036503),endoplasmic reticulum(GO:0005783)
Zm00001eb136570,Magnesium transporter;unassigned;;orthologs,,,magnesium ion transmembrane transporter activity(GO:0015095),magnesium ion transport(GO:0015693);magnesium ion transmembrane transport(GO:1903830),early endosome(GO:0005769);membrane(GO:0016020)
Zm00001eb326000,Triacylglycerol lipase;ZEAMMB73_Zm00001d021971;PTN002834193;orthologs,OS07G0586800 PROTEIN (PTHR31479:SF6),hydrolase(PC00121),,,
Zm00001eb197430,Homeobox domain-containing protein;unassigned;PTN009189680;orthologs,WUSCHEL-RELATED HOMEOBOX 3 (PTHR45940:SF42),homeodomain transcription factor(PC00119),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355);system development(GO:0048731);plant organ development(GO:0099402),nucleus(GO:0005634)
Zm00001eb327880,DUF4057 domain-containing protein;ZEAMMB73_Zm00001d022190;PTN009113721;orthologs,OS07G0623600 PROTEIN (PTHR31132:SF12),,,,
Zm00001eb232970,Transducin_WD40 repeat-like superfamily protein;unassigned;PTN002860703;orthologs,E3 UBIQUITIN-PROTEIN LIGASE LIN (PTHR35549:SF3),,,,
Zm00001eb039240,Amino acid transporter transmembrane domain-containing protein;unassigned;PTN009223535;orthologs,AMINO ACID TRANSPORTER TRANSMEMBRANE DOMAIN-CONTAINING PROTEIN (PTHR48017:SF53),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020)
Zm00001eb329190,ATP12 ATPase;100282414;PTN009043253;orthologs,ATP SYNTHASE MITOCHONDRIAL F1 COMPLEX ASSEMBLY FACTOR 2 (PTHR21013:SF10),chaperone(PC00072),,mitochondrial proton-transporting ATP synthase complex assembly(GO:0033615);proton-transporting ATP synthase complex assembly(GO:0043461),mitochondrion(GO:0005739)
Zm00001eb041770,Tau-cadinol synthase;TPS7;PTN008415736;orthologs,TAU-CADINOL SYNTHASE (PTHR31225:SF186),,magnesium ion binding(GO:0000287);terpene synthase activity(GO:0010333);lyase activity(GO:0016829);metal ion binding(GO:0046872),isoprenoid biosynthetic process(GO:0008299);response to fungus(GO:0009620);response to abscisic acid(GO:0009737);response to jasmonic acid(GO:0009753);diterpenoid biosynthetic process(GO:0016102);terpenoid biosynthetic process(GO:0016114);terpene biosynthetic process(GO:0046246),cytoplasm(GO:0005737)
Zm00001eb015530,Phospholipid-transporting ATPase;100501310;;orthologs,,,nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872);ATPase-coupled intramembrane lipid transporter activity(GO:0140326),phospholipid transport(GO:0015914);lipid translocation(GO:0034204),membrane(GO:0016020)
Zm00001eb074470,Uncharacterized protein;unassigned;PTN009154363;orthologs,OS04G0554900 PROTEIN (PTHR34961:SF11),,,,
Zm00001eb371620,Histone H4;unassigned;;orthologs,,,DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982),,nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb363910,Protein kinase domain-containing protein;unassigned;PTN009077401;orthologs,PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24056:SF358),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);RNA polymerase II CTD heptapeptide repeat kinase activity(GO:0008353),positive regulation of transcription elongation by RNA polymerase II(GO:0032968),cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634)
Zm00001eb397690,protein-serine_threonine phosphatase;unassigned;;orthologs,,,phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787),,
Zm00001eb021390,"Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB2, chloroplastic;100194324;PTN009158703;orthologs","PROTEIN COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB2, CHLOROPLASTIC (PTHR36403:SF1)",,,,
Zm00001eb328930,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb039380,40S ribosomal protein S25;100280801;PTN002656292;orthologs,SMALL RIBOSOMAL SUBUNIT PROTEIN ES25 (PTHR12850:SF5),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),,ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb332270,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb234850,GDSL esterase_lipase;unassigned;PTN002901054;orthologs,OS02G0189300 PROTEIN (PTHR45642:SF48),hydrolase(PC00121),,,
Zm00001eb258350,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb430250,Phospholipid scramblase;100282688;PTN009067186;orthologs,PHOSPHOLIPID SCRAMBLASE (PTHR23248:SF9),transporter(PC00227),phospholipid scramblase activity(GO:0017128),plasma membrane phospholipid scrambling(GO:0017121),plasma membrane(GO:0005886)
Zm00001eb201180,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb252300,Histone-lysine N-methyltransferase SUVR5;unassigned;PTN009209284;orthologs,HISTONE-LYSINE N-METHYLTRANSFERASE SUVR5 (PTHR47325:SF1),histone modifying enzyme(PC00261),methyltransferase activity(GO:0008168);zinc ion binding(GO:0008270);transferase activity(GO:0016740);histone methyltransferase activity(GO:0042054);histone H3 methyltransferase activity(GO:0140938),chromatin remodeling(GO:0006338);methylation(GO:0032259),nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb414830,Putative AP2_EREBP transcription factor superfamily protein;103642514;PTN002837227;orthologs,ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF088 (PTHR31677:SF87),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb228880,ARM repeat superfamily protein;unassigned;;orthologs,,,microtubule binding(GO:0008017),,microtubule(GO:0005874)
Zm00001eb333520,H_ACA ribonucleoprotein complex subunit 4;100502498;PTN002751027;orthologs,H_ACA RIBONUCLEOPROTEIN COMPLEX SUBUNIT 4 (PTHR23127:SF3),centromere DNA-binding protein(PC00071),RNA binding(GO:0003723);pseudouridine synthase activity(GO:0009982);isomerase activity(GO:0016853),box H/ACA sno(s)RNA 3'-end processing(GO:0000495);pseudouridine synthesis(GO:0001522);RNA processing(GO:0006396);RNA modification(GO:0009451);rRNA pseudouridine synthesis(GO:0031118);snRNA pseudouridine synthesis(GO:0031120);mRNA pseudouridine synthesis(GO:1990481),box H/ACA snoRNP complex(GO:0031429);ribonucleoprotein complex(GO:1990904)
Zm00001eb351880,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5;ZEAMMB73_Zm00001d010596;PTN002828936;orthologs,PROTEIN G1-LIKE8 (PTHR31165:SF18),,DNA binding(GO:0003677),mRNA transcription(GO:0009299);response to light stimulus(GO:0009416),nucleus(GO:0005634)
Zm00001eb372730,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb322860,Patatin;100272617;PTN002793687;orthologs,CALCIUM-INDEPENDENT PHOSPHOLIPASE A2-GAMMA (PTHR24185:SF1),phospholipase(PC00186),phospholipase activity(GO:0004620);hydrolase activity(GO:0016787),lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);defense response(GO:0006952);lipid catabolic process(GO:0016042),membrane(GO:0016020)
Zm00001eb068930,Glutaredoxin family protein;100274193;PTN002903375;orthologs,OS04G0641300 PROTEIN (PTHR45669:SF30),oxidoreductase(PC00176),,,
Zm00001eb168450,Protein kinase superfamily protein;103652847;PTN002576639;orthologs,"PROTEIN ACTIVITY OF BC1 COMPLEX KINASE 1, CHLOROPLASTIC (PTHR10566:SF53)",,protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301),cellular response to nitrogen starvation(GO:0006995);response to water deprivation(GO:0009414);response to blue light(GO:0009637);photosynthetic electron transport chain(GO:0009767);thylakoid membrane organization(GO:0010027);regulation of photosynthesis(GO:0010109);response to red light(GO:0010114);chlorophyll catabolic process(GO:0015996);regulation of anthocyanin biosynthetic process(GO:0031540);plastoglobule organization(GO:0080177);response to photooxidative stress(GO:0080183);response to paraquat(GO:1901562);positive regulation of chlorophyll biosynthetic process(GO:1902326);positive regulation of carotenoid biosynthetic process(GO:1904143),chloroplast(GO:0009507)
Zm00001eb012660,RNA binding protein;100283990;PTN002690195;orthologs,RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN (PTHR48029:SF3),,nucleic acid binding(GO:0003676);RNA binding(GO:0003723),,
Zm00001eb116720,F-box domain-containing protein;103648245;PTN002860663;orthologs,F-BOX DOMAIN-CONTAINING PROTEIN (PTHR35546:SF24),,,,
Zm00001eb252160,SANT domain-containing protein;unassigned;PTN002889948;orthologs,OS12G0522516 PROTEIN (PTHR43952:SF61),homeodomain transcription factor(PC00119),DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb116860,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb010570,LOB domain-containing protein 31;100381506;PTN002834753;orthologs,LOB DOMAIN-CONTAINING PROTEIN 30 (PTHR31529:SF4),,,hormone-mediated signaling pathway(GO:0009755);positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb071500,Ubiquitin-specific protease family C19-related protein;100280073;PTN002852698;orthologs,OS08G0230200 PROTEIN (PTHR33709:SF4),,,,
Zm00001eb227790,NF-E2 inducible protein-like;100279905;PTN002705339;orthologs,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE (PTHR18063:SF6),,cysteine-type deubiquitinase activity(GO:0004843);cysteine-type carboxypeptidase activity(GO:0016807);K48-linked deubiquitinase activity(GO:1990380),,nucleoplasm(GO:0005654)
Zm00001eb004300,HMA domain-containing protein;unassigned;PTN002737235;orthologs,"HEAVY METAL-ASSOCIATED DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR22814:SF350)",,metal ion binding(GO:0046872),,
Zm00001eb151450,Vacuolar protein sorting-associated protein 28 homolog;103651140;PTN002658368;orthologs,VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 28 HOMOLOG (PTHR12937:SF0),membrane traffic protein(PC00150),protein-containing complex binding(GO:0044877),protein transport(GO:0015031);endosome transport via multivesicular body sorting pathway(GO:0032509);protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway(GO:0043328),ESCRT I complex(GO:0000813);endosome(GO:0005768)
Zm00001eb362560,"NAD(P)H-quinone oxidoreductase subunit O, chloroplastic;unassigned;PTN009159394;orthologs","NAD(P)H-QUINONE OXIDOREDUCTASE SUBUNIT O, CHLOROPLASTIC (PTHR36728:SF2)",oxidoreductase(PC00176),,,
Zm00001eb365660,ARM repeat superfamily protein;ZEAMMB73_Zm00001d012155;PTN002918474;orthologs,ARM REPEAT SUPERFAMILY PROTEIN (PTHR46087:SF1),,,,
