#node	identifier	domain_summary_url	annotation	other_names_and_aliases
A0A1D6GZS8	4577.A0A1D6GZS8	L-aspartate oxidase; Catalyzes the oxidation of L-aspartate to iminoaspartate.	https://smart.embl.de/smart/DDvec.cgi?smart=668:Pfam_FAD_binding_2(88|476)+Pfam_Succ_DH_flav_C(535|654)+	1.4.3.16,100279867,A0A1D6GZS8,A0A1D6GZS8_MAIZE,EC 1.4.3.16,L-aspartate oxidase,L-aspartate oxidase chloroplastic,NP_001146292,ZEAMMB73_Zm00001d015183,zma:100279867
A0A1D6H377	4577.A0A1D6H377	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase; Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene).	https://smart.embl.de/smart/DDvec.cgi?smart=170:Pfam_AraC_binding(47|163)+	1.13.11.53,1.13.11.54,103628375,A0A1D6H377,A0A1D6H377_MAIZE,ARD,Acireductone dioxygenase (Fe(2+)-requiring),EC 1.13.11.53,EC 1.13.11.54,Fe-ARD,XM_008648587.1,XP_008646809,XP_008646809.1,ZEAMMB73_Zm00001d015685,zma:103628375
A0A1D6H505	4577.A0A1D6H505	D-amino-acid transaminase chloroplastic.	https://smart.embl.de/smart/DDvec.cgi?smart=399:Pfam_Aminotran_4(134|361)+	103626932,4-amino-4-deoxychorismate lyase,4.1.3.38,A0A1D6H505,A0A1D6H505_MAIZE,D-amino-acid transaminase chloroplastic,EC 4.1.3.38,XP_008645516,ZEAMMB73_Zm00001d016006,zma:103626932
A0A1D6HNF9	4577.A0A1D6HNF9	Aspartate aminotransferase chloroplastic.	https://smart.embl.de/smart/DDvec.cgi?smart=470:Pfam_Aminotran_1_2(94|462)+	100282625,2.6.1.1,A0A1D6HNF9,A0A1D6HNF9_MAIZE,Aspartate aminotransferase,Aspartate aminotransferase chloroplastic,Aspartate aminotransferase, chloroplastic,EC 2.6.1.1,NP_001149005,ZEAMMB73_Zm00001d018386,zma:100282625
A0A1D6J506	4577.A0A1D6J506	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase; Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene).	https://smart.embl.de/smart/DDvec.cgi?smart=171:Pfam_AraC_binding(51|150)+	1.13.11.53,1.13.11.54,103642691,A0A1D6J506,A0A1D6J506_MAIZE,ARD,Acireductone dioxygenase (Fe(2+)-requiring),EC 1.13.11.53,EC 1.13.11.54,Fe-ARD,XP_008664128,ZEAMMB73_Zm00001d025114,zma:103642691
A0A1D6JDC2	4577.A0A1D6JDC2	SNARE associated Golgi protein family.	https://smart.embl.de/smart/DDvec.cgi?smart=258:TRANS(10|32)+TRANS(68|90)+TRANS(100|122)+	100273321,A0A1D6JDC2,A0A1D6JDC2_MAIZE,SNARE associated Golgi protein family,ZEAMMB73_Zm00001d026194
A0A1D6JQB2	4577.A0A1D6JQB2	Omega-amidase chloroplastic.	https://smart.embl.de/smart/DDvec.cgi?smart=435:Pfam_CN_hydrolase(76|331)+	100280276,A0A1D6JQB2,A0A1D6JQB2_MAIZE,Omega-amidase chloroplastic,ZEAMMB73_Zm00001d027876
A0A1D6LSL7	4577.A0A1D6LSL7	Protein NRT1/ PTR FAMILY 4.6.	https://smart.embl.de/smart/DDvec.cgi?smart=540:TRANS(31|53)+TRANS(73|95)+Pfam_PTR2(102|465)+Pfam_PTR2(462|529)+	A0A1D6LSL7,A0A1D6LSL7_MAIZE,Protein NRT1/ PTR FAMILY 4.6,ZEAMMB73_Zm00001d036942
A0A1D6M3Z4	4577.A0A1D6M3Z4	Autophagy-related protein 18g.	https://smart.embl.de/smart/DDvec.cgi?smart=999:WD40(361|401)+WD40(422|462)+Pfam_BCAS3(508|753)+	103630344,A0A1D6M3Z4,A0A1D6M3Z4_MAIZE,Autophagy-related protein 18g,Autophagy-related protein 18h,XP_008649626,ZEAMMB73_Zm00001d038156,zma:103630344
A0A1D6M486	4577.A0A1D6M486	Protein NRT1/ PTR FAMILY 3.1.	https://smart.embl.de/smart/DDvec.cgi?smart=303:Pfam_PTR2(93|300)+	A0A1D6M486,A0A1D6M486_MAIZE,Protein NRT1/ PTR FAMILY 3.1,ZEAMMB73_Zm00001d038179
A0A1D6M487	4577.A0A1D6M487	Protein NRT1/ PTR FAMILY 3.1.	https://smart.embl.de/smart/DDvec.cgi?smart=314:Pfam_PTR2(12|248)+TRANS(260|282)+	103630353,A0A1D6M487,A0A1D6M487_MAIZE,Protein NRT1/ PTR FAMILY 3.1,XP_008649638,ZEAMMB73_Zm00001d038180,zma:103630353
A0A1D6MAC4	4577.A0A1D6MAC4	Putative RING zinc finger domain superfamily protein.	https://smart.embl.de/smart/DDvec.cgi?smart=180:TRANS(15|37)+RING(130|171)+	103631601,A0A1D6MAC4,A0A1D6MAC4_MAIZE,Putative RING-H2 finger protein ATL69,XM_008652473.1,XP_008650695,XP_008650695.1,ZEAMMB73_Zm00001d038757,zma:103631601
A0A1D6MKY8	4577.A0A1D6MKY8	Pollen Ole e 1 allergen and extensin family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=210:SIGNAL(1|21)+Pfam_Pollen_Ole_e_I(73|171)+	103651770,A0A1D6MKY8,A0A1D6MKY8_MAIZE,Non-classical arabinogalactan protein 30,XM_008677470.1,XP_008675692,XP_008675692.1,ZEAMMB73_Zm00001d039748,zma:103651770
A0A1D6MKZ0	4577.A0A1D6MKZ0	Receptor like protein 7.	https://smart.embl.de/smart/DDvec.cgi?smart=1522:Pfam_LRRNT_2(7|49)+LRR(81|106)+LRR(434|458)+LRR(489|512)+LRR(879|902)+LRR(903|936)+RRM(1256|1326)+	103649722,A0A1D6MKZ0,A0A1D6MKZ0_MAIZE,Receptor like protein 42,Receptor like protein 7,XP_020405692,ZEAMMB73_Zm00001d039749,zma:103649722
A0A1D6MKZ8	4577.A0A1D6MKZ8	Receptor like protein 7.	https://smart.embl.de/smart/DDvec.cgi?smart=1070:SIGNAL(1|28)+Pfam_LRRNT_2(44|86)+LRR(115|140)+LRR(285|309)+LRR(431|455)+LRR(480|503)+LRR(530|554)+LRR(674|698)+LRR(776|799)+LRR(893|917)+TRANS(939|961)+TRANS(982|1004)+	103649724,A0A1D6MKZ8,A0A1D6MKZ8_MAIZE,Receptor like protein 7,Receptor-like protein 12 isoform X1,XM_008675459.1,XP_008673681,XP_008673681.1,ZEAMMB73_Zm00001d039754,zma:103649724
A0A1D6MKZ9	4577.A0A1D6MKZ9	C2 and GRAM domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=425:GRAM(126|192)+Pfam_DUF4782(263|405)+	A0A1D6MKZ9,A0A1D6MKZ9_MAIZE,C2 and GRAM domain-containing protein,ZEAMMB73_Zm00001d039757
A0A1D6ML09	4577.A0A1D6ML09	Xyloglucan 6-xylosyltransferase 2.	https://smart.embl.de/smart/DDvec.cgi?smart=449:TRANS(21|43)+Pfam_Glyco_transf_34(133|376)+	103649726,2.4.2.39,A0A1D6ML09,A0A1D6ML09_MAIZE,EC 2.4.2.39,Probable glycosyltransferase 5,XP_020406255,Xyloglucan 6-xylosyltransferase,Xyloglucan 6-xylosyltransferase 2,ZEAMMB73_Zm00001d039763,zma:103649726
A0A1D6ML12	4577.A0A1D6ML12	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=74:Pfam_RALF(21|74)+	100278092,A0A1D6ML12,A0A1D6ML12_MAIZE,Uncharacterized protein,Uncharacterized protein LOC100278092,XM_008675463.1,XP_008673685,XP_008673685.1,ZEAMMB73_Zm00001d039766,zma:100278092
A0A1D6ML20	4577.A0A1D6ML20	RING/U-box superfamily protein.	https://smart.embl.de/smart/DDvec.cgi?smart=551:RING(506|546)+	103649729,A0A1D6ML20,A0A1D6ML20_MAIZE,RING/U-box superfamily protein,ZEAMMB73_Zm00001d039769
A0A1D6ML28	4577.A0A1D6ML28	DOG1 domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=272:Pfam_DOG1(43|121)+	103649730,A0A1D6ML28,A0A1D6ML28_MAIZE,DOG1 domain-containing protein,Protein DOG1-like 2,XM_008675465.1,XP_008673687,XP_008673687.1,ZEAMMB73_Zm00001d039771,zma:103649730
A0A1D6ML29	4577.A0A1D6ML29	Carboxypeptidase; Belongs to the peptidase S10 family.	https://smart.embl.de/smart/DDvec.cgi?smart=526:SIGNAL(1|33)+Pfam_Peptidase_S10(57|513)+	3.4.16.-,A0A1D6ML29,A0A1D6ML29_MAIZE,Carboxypeptidase,ZEAMMB73_Zm00001d039772
A0A1D6ML42	4577.A0A1D6ML42	PLAC8 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=255:Pfam_PLAC8(64|224)+	A0A1D6ML42,A0A1D6ML42_MAIZE,PLAC8 family protein,ZEAMMB73_Zm00001d039776
A0A1D6ML43	4577.A0A1D6ML43	Cell number regulator 8.	https://smart.embl.de/smart/DDvec.cgi?smart=161:Pfam_iPGM_N(1|117)+	103651775,5.4.2.12,A0A1D6ML43,A0A1D6ML43_MAIZE,Cell number regulator 8,EC 5.4.2.12,XP_020406308,ZEAMMB73_Zm00001d039777,zma:103651775
A0A1D6ML46	4577.A0A1D6ML46	Mitochondrial import inner membrane translocase subunit TIM14.	https://smart.embl.de/smart/DDvec.cgi?smart=124:TRANS(10|32)+DnaJ(64|118)+	100280541,A0A1D6ML46,A0A1D6ML46_MAIZE,DnaJ homolog subfamily C member 19,NP_001146932,ZEAMMB73_Zm00001d039780,zma:100280541
A0A1D6ML47	4577.A0A1D6ML47	Glycosyltransferases; Involved in the synthesis of glucuronoxylan hemicellulose in secondary cell walls; Belongs to the glycosyltransferase 43 family.	https://smart.embl.de/smart/DDvec.cgi?smart=314:TRANS(21|43)+Pfam_Glyco_transf_43(96|287)+	103649736,2.4.-.-,2.4.2.-,A0A1D6ML47,A0A1D6ML47_MAIZE,EC 2.4.2.-,Glycosyltransferases,Probable glucuronosyltransferase Os01g0157700,Putative beta-1,4-xylosyltransferase IRX9,XM_008675467.1,XP_008673689,XP_008673689.1,ZEAMMB73_Zm00001d039781,zma:103649736
A0A1D6ML48	4577.A0A1D6ML48	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=256:	100278548,A0A1D6ML48,A0A1D6ML48_MAIZE,NP_001145260,Uncharacterized protein,Uncharacterized protein LOC100278548,ZEAMMB73_Zm00001d039782,zma:100278548
A0A1D6ML49	4577.A0A1D6ML49	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=194:Pfam_DUF1110(3|186)+	100276897,A0A1D6ML49,A0A1D6ML49_MAIZE,NM_001150596.2,NP_001144068,NP_001144068.2,Uncharacterized protein,Uncharacterized protein LOC100276897,ZEAMMB73_Zm00001d039783,zma:100276897
A0A1D6ML55	4577.A0A1D6ML55	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=144:	109944797,A0A1D6ML55,A0A1D6ML55_MAIZE,Cold and drought-regulated protein CORA,Uncharacterized protein,XP_020405705,ZEAMMB73_Zm00001d039786,zma:109944797
A0A1D6ML65	4577.A0A1D6ML65	Dirigent protein; Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism.	https://smart.embl.de/smart/DDvec.cgi?smart=362:SIGNAL(1|28)+Pfam_Dirigent(210|362)+	100284591,A0A1D6ML65,A0A1D6ML65_MAIZE,Dirigent protein,Dirigent-like protein precursor,NP_001150958,ZEAMMB73_Zm00001d039788,zma:100284591
A0A1D6ML68	4577.A0A1D6ML68	Amino_oxidase domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=221:Pfam_Transferase(9|138)+Pfam_Amino_oxidase(136|221)+	A0A1D6ML68,A0A1D6ML68_MAIZE,Amino_oxidase domain-containing protein,ZEAMMB73_Zm00001d039794
A0A1D6ML69	4577.A0A1D6ML69	Putative carboxylesterase 15.	https://smart.embl.de/smart/DDvec.cgi?smart=259:Pfam_Abhydrolase_3(81|184)+Pfam_Abhydrolase_3(182|259)+	A0A1D6ML69,A0A1D6ML69_MAIZE,Putative carboxylesterase 15,ZEAMMB73_Zm00001d039795
A0A1D6ML70	4577.A0A1D6ML70	DUF674 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=249:Pfam_DUF674(5|232)+	103651778,A0A1D6ML70,A0A1D6ML70_MAIZE,DUF674 family protein,Uncharacterized protein LOC103651778,XP_008675701,ZEAMMB73_Zm00001d039796,zma:103651778
A0A1D6ML71	4577.A0A1D6ML71	UBA domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=92:Pfam_UBA(34|57)+	A0A1D6ML71,A0A1D6ML71_MAIZE,UBA domain-containing protein,ZEAMMB73_Zm00001d039797
A0A1D6ML72	4577.A0A1D6ML72	Putative carboxylesterase 15.	https://smart.embl.de/smart/DDvec.cgi?smart=339:Pfam_Abhydrolase_3(81|314)+	103649747,A0A1D6ML72,A0A1D6ML72_MAIZE,Probable carboxylesterase 15,Putative carboxylesterase 15,XM_008675473.1,XP_008673695,XP_008673695.1,ZEAMMB73_Zm00001d039799,zma:103649747
A0A1D6ML73	4577.A0A1D6ML73	Ion channel CASTOR.	http://smart.embl.de/smart/DDvec.cgi?smart=280:	A0A1D6ML73,A0A1D6ML73_MAIZE,Ion channel CASTOR,ZEAMMB73_Zm00001d039801
A0A1D6ML74	4577.A0A1D6ML74	DUF674 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=248:Pfam_DUF674(6|248)+	103649748,A0A1D6ML74,A0A1D6ML74_MAIZE,DUF674 family protein,Uncharacterized protein LOC103649748,XP_020406258,ZEAMMB73_Zm00001d039802,zma:103649748
A0A1D6ML75	4577.A0A1D6ML75	DUF674 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=252:Pfam_DUF674(5|252)+	103649749,A0A1D6ML75,A0A1D6ML75_MAIZE,DUF674 family protein,Uncharacterized protein LOC103649749,XM_008675475.1,XP_008673697,XP_008673697.1,ZEAMMB73_Zm00001d039803,zma:103649749
A0A1D6ML76	4577.A0A1D6ML76	DUF674 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=252:Pfam_DUF674(6|252)+	103649753,A0A1D6ML76,A0A1D6ML76_MAIZE,DUF674 family protein,Uncharacterized protein LOC103649753,XP_008673698,ZEAMMB73_Zm00001d039805,zma:103649753
A0A1D6ML78	4577.A0A1D6ML78	Putative pentatricopeptide repeat-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1054:Pfam_PPR_3(291|354)+Pfam_PPR_1(369|402)+Pfam_PPR_3(432|493)+Pfam_PPR_long(490|584)+Pfam_PPR_1(581|612)+Pfam_PPR_1(614|647)+Pfam_PPR_1(684|717)+Pfam_PPR_3(711|773)+Pfam_PPR_1(789|822)+Pfam_PPR(831|860)+Pfam_PPR_1(858|889)+Pfam_PPR_3(885|945)+	103651782,A0A1D6ML78,A0A1D6ML78_MAIZE,XP_008675704,ZEAMMB73_Zm00001d039808,zma:103651782
A0A1D6ML80	4577.A0A1D6ML80	Chloride channel protein CLC-b.	https://smart.embl.de/smart/DDvec.cgi?smart=245:Pfam_Voltage_CLC(1|245)+	A0A1D6ML80,A0A1D6ML80_MAIZE,Chloride channel protein CLC-b,ZEAMMB73_Zm00001d039812
A0A1D6ML83	4577.A0A1D6ML83	Protein SUPPRESSOR OF GENE SILENCING 3.	https://smart.embl.de/smart/DDvec.cgi?smart=394:Pfam_zf-XS(151|189)+Pfam_eRF1_2(265|394)+	A0A1D6ML83,A0A1D6ML83_MAIZE,Protein SUPPRESSOR OF GENE SILENCING 3,ZEAMMB73_Zm00001d039815
A0A1D6ML85	4577.A0A1D6ML85	Aspartate--tRNA ligase chloroplastic/mitochondrial.	https://smart.embl.de/smart/DDvec.cgi?smart=506:Pfam_GAD(230|329)+	100382529,6.1.1.12,A0A1D6ML85,A0A1D6ML85_MAIZE,Aspartyl-tRNA synthetase,EC 6.1.1.12,NP_001168737,Uncharacterized LOC100382529,ZEAMMB73_Zm00001d039816,zma:100382529
A0A1D6ML86	4577.A0A1D6ML86	DUF674 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=253:Pfam_DUF674(11|106)+Pfam_DUF674(116|252)+	103649760,A0A1D6ML86,A0A1D6ML86_MAIZE,DUF674 family protein,Uncharacterized protein LOC103649760,XP_008673702,ZEAMMB73_Zm00001d039817,zma:103649760
A0A1D6ML87	4577.A0A1D6ML87	DUF674 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=247:Pfam_DUF674(6|247)+	103649761,A0A1D6ML87,A0A1D6ML87_MAIZE,DUF674 family protein,Uncharacterized protein LOC103649761,XM_008675481.1,XP_008673703,XP_008673703.1,ZEAMMB73_Zm00001d039818,zma:103649761
A0A1D6ML88	4577.A0A1D6ML88	V-type proton ATPase proteolipid subunit; Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells.	https://smart.embl.de/smart/DDvec.cgi?smart=173:SIGNAL(1|18)+TRANS(108|130)+TRANS(145|167)+	103651792,A0A1D6ML88,A0A1D6ML88_MAIZE,V-type proton ATPase 16 kDa proteolipid subunit,V-type proton ATPase proteolipid subunit,XP_008675712,ZEAMMB73_Zm00001d039820,zma:103651792
A0A1D6ML90	4577.A0A1D6ML90	LRR receptor-like serine/threonine-protein kinase EFR; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.	https://smart.embl.de/smart/DDvec.cgi?smart=1029:Pfam_LRRNT_2(17|58)+LRR(87|110)+LRR(111|135)+LRR(184|207)+LRR(208|231)+LRR(232|256)+LRR(281|304)+LRR(305|328)+LRR(456|480)+LRR(504|528)+Pfam_LRR_8(529|589)+LRR(600|625)+TRANS(667|688)+Pfam_Pkinase_Tyr(723|1012)+	103649762,A0A1D6ML90,A0A1D6ML90_MAIZE,Receptor kinase-like protein Xa21,XM_008675483.1,XP_008673705,XP_008673705.1,ZEAMMB73_Zm00001d039822,zma:103649762
A0A1D6ML91	4577.A0A1D6ML91	LRR receptor-like serine/threonine-protein kinase EFR; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.	https://smart.embl.de/smart/DDvec.cgi?smart=1046:Pfam_LRRNT_2(25|70)+LRR(97|121)+LRR(145|169)+LRR(194|217)+LRR(218|242)+LRR(315|338)+LRR(407|430)+LRR(455|479)+LRR(504|528)+LRR(576|599)+TRANS(664|686)+Pfam_Pkinase_Tyr(722|1013)+	A0A1D6ML91,A0A1D6ML91_MAIZE,ZEAMMB73_Zm00001d039824
A0A1D6ML92	4577.A0A1D6ML92	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=132:TRANS(20|39)+TRANS(54|76)+TRANS(96|118)+	103649764,A0A1D6ML92,A0A1D6ML92_MAIZE,NM_001152139.2,NP_001145611,NP_001145611.2,Uncharacterized protein,Uncharacterized protein LOC103649764,ZEAMMB73_Zm00001d039825,zma:103649764
A0A1D6ML96	4577.A0A1D6ML96	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=177:	A0A1D6ML96,A0A1D6ML96_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d039831
A0A1D6MLA7	4577.A0A1D6MLA7	Hydroxycinnamoyltransferase7.	https://smart.embl.de/smart/DDvec.cgi?smart=437:Pfam_Transferase(6|431)+	103649769,2.3.1.133,A0A1D6MLA7,A0A1D6MLA7_MAIZE,EC 2.3.1.133,Hydroxycinnamoyltransferase7,Putrescine hydroxycinnamoyltransferase 1,Shikimate O-hydroxycinnamoyltransferase,XM_008675487.1,XM_008675488.1,XP_008673709,XP_008673709.1,XP_008673710.1,ZEAMMB73_Zm00001d039840,zma:103649769
